cluster,n,med_logit_mlaad,med_logit_robust_goat,within_EER_vs_bona,mean_C,mean_T,mean_SNR_db
2,1602,8.434202194213867,7.944379806518555,0.34456928838951617,-10.846217615029934,2.7235376963786133,24.405742821473158
1,584,7.463358402252197,7.742664337158203,0.4513333333324491,-10.795301006264882,2.76049894607896,77.38013698630137
3,163,7.578963279724121,7.362408638000488,0.4662576687116565,-9.904381462401407,2.681724208199654,43.00613496932515
0,651,6.6487135887146,7.469602584838867,0.5513333333324941,-10.610311969634026,2.735538896063906,46.37327188940092
