run_name,run_id,aug_name,sweep_idx,param_json,val_auc,val_eer,val_fnr,val_fpr,val_acc,val_tpr,val_tnr,val_loss,val_aug_loss,val_clip_loss,val_cls_loss
attack_reverberation,l36pkqui,reverberation,,{},0.9668942093849182,0.09533333033323288,0.023333333432674408,0.27399998903274536,0.8513333201408386,1.0,0.0,0.3905729949474334,0.0,0.03663094714283943,0.3722574114799499
attack_lowpass,5om239tj,lowpass,,{},0.9840960502624512,0.06333333253860474,0.09066666662693024,0.036666665226221085,0.9363333582878112,1.0,0.0,0.1927492469549179,0.0,0.04124395549297333,0.17212727665901184
attack_phase_noise,79lnkc08,phase_noise,,{},0.9699270725250244,0.09266666322946548,0.0846666693687439,0.11133333295583724,0.9020000100135804,1.0,0.0,0.2604478597640991,0.0,0.04677678272128105,0.23705948889255524
attack_amp_scale,9kf14vf5,amp_scale,,{},0.9814932942390442,0.07400000095367432,0.09799999743700027,0.03466666489839554,0.9336666464805604,1.0,0.0,0.21038182079792023,0.0,0.04240604490041733,0.18917876482009888
attack_additive_noise,ywktoeks,additive_noise,,{},0.9738630652427672,0.08399999886751175,0.05000000074505806,0.1459999978542328,0.9020000100135804,1.0,0.0,0.2607724070549011,0.0,0.05295802652835846,0.23429343104362488
attack_codec_mulaw,mcajckhk,codec_mulaw,,{},0.9814995527267456,0.07400000095367432,0.04600000008940697,0.1146666631102562,0.9196666479110718,1.0,0.0,0.21182557940483093,0.0,0.03855348378419876,0.1925489455461502
attack_pitch_up,ctqhfo7a,pitch_up,,{},0.966871976852417,0.09666666388511658,0.05133333429694176,0.195333331823349,0.8766666650772095,1.0,0.0,0.3140711784362793,0.0,0.05383729934692383,0.28715258836746216
attack_pitch_down,eypq75cn,pitch_down,,{},0.982924461364746,0.06533333659172058,0.09066666662693024,0.03733333200216293,0.9359999895095824,1.0,0.0,0.20159633457660675,0.0,0.047543056309223175,0.17782479524612427
attack_pitch_up_1,mg76w1rj,pitch_up,1.0,"{""semitones"": 1}",0.9743888974189758,0.08533333241939545,0.07400000095367432,0.09666666388511658,0.9146666526794434,1.0,0.0,0.23931097984313965,0.0,0.043376170098781586,0.21762286126613617
attack_pitch_up_2,i50ooi9u,pitch_up,2.0,"{""semitones"": 2}",0.9655203819274902,0.09666666388511658,0.05666666850447655,0.18933333456516263,0.8769999742507935,1.0,0.0,0.3152737319469452,0.0,0.05012207478284836,0.2902126610279083
attack_pitch_up_3,71gj7e59,pitch_up,3.0,"{""semitones"": 3}",0.9540164470672609,0.12066666781902312,0.03266666829586029,0.3199999928474426,0.8236666917800903,1.0,0.0,0.4700862765312195,0.0,0.06589172035455704,0.43714043498039246
attack_pitch_up_4,gaf1t738,pitch_up,4.0,"{""semitones"": 4}",0.9285277724266052,0.15199999511241913,0.02199999988079071,0.5286666750907898,0.7246666550636292,1.0,0.0,0.8039069175720215,0.0,0.09519855678081512,0.7563077211380005
attack_pitch_up_5,mxb0jyje,pitch_up,5.0,"{""semitones"": 5}",0.8817777633666992,0.20000000298023224,0.008666666224598885,0.7300000190734863,0.6306666731834412,1.0,0.0,1.3244305849075315,0.0,0.14043886959552765,1.2542107105255127
attack_pitch_down_1,qfo77bcv,pitch_down,1.0,"{""semitones"": 1}",0.9830929040908812,0.06666667014360428,0.10133333504199982,0.03200000151991844,0.9333333373069764,1.0,0.0,0.20582228899002075,0.0,0.043976373970508575,0.18383409082889557
attack_pitch_down_2,ffzdr0y5,pitch_down,2.0,"{""semitones"": 2}",0.9815582036972046,0.07000000029802322,0.10266666859388351,0.04066666588187218,0.928333342075348,1.0,0.0,0.20980574190616608,0.0,0.04568784683942795,0.18696177005767825
attack_pitch_down_3,p45io05b,pitch_down,3.0,"{""semitones"": 3}",0.9797120094299316,0.07266666740179062,0.0793333351612091,0.06400000303983688,0.928333342075348,1.0,0.0,0.21670660376548767,0.0,0.05308283865451813,0.1901651471853256
attack_pitch_down_4,85j4pn8x,pitch_down,4.0,"{""semitones"": 4}",0.970578670501709,0.09600000083446504,0.05933333188295365,0.14533333480358124,0.8976666927337646,1.0,0.0,0.2840605676174164,0.0,0.05286582559347153,0.2576276957988739
attack_pitch_down_5,fbv0ci8x,pitch_down,5.0,"{""semitones"": 5}",0.949655532836914,0.12999999523162842,0.04266666620969772,0.2893333435058594,0.8339999914169312,1.0,0.0,0.5004743933677673,0.0,0.06370753049850464,0.46862053871154785
attack_phase_noise_1,nyseciow,phase_noise,1.0,"{""noise_level"": 0.003}",0.9785653352737428,0.07666666805744171,0.10466666519641876,0.046666666865348816,0.9243333339691162,1.0,0.0,0.2226087898015976,0.0,0.04462490975856781,0.2002963423728943
attack_phase_noise_2,ayoib5kj,phase_noise,2.0,"{""noise_level"": 0.006}",0.9756932854652404,0.07999999821186066,0.09600000083446504,0.06266666948795319,0.9206666946411132,1.0,0.0,0.22793211042881012,0.0,0.046843692660331726,0.20451031625270844
attack_phase_noise_3,iq5seevu,phase_noise,3.0,"{""noise_level"": 0.012}",0.9731271266937256,0.09000000357627869,0.0793333351612091,0.10266666859388351,0.9089999794960022,1.0,0.0,0.23920901119709015,0.0,0.04519415646791458,0.2166119813919067
attack_phase_noise_4,n9bt79m9,phase_noise,4.0,"{""noise_level"": 0.02}",0.969597339630127,0.09066666662693024,0.06133333221077919,0.1366666704416275,0.9010000228881836,1.0,0.0,0.2759420871734619,0.0,0.0463467501103878,0.2527688443660736
attack_phase_noise_5,j03vrbpo,phase_noise,5.0,"{""noise_level"": 0.03}",0.9659870862960817,0.09799999743700027,0.0533333346247673,0.20266667008399963,0.871999979019165,1.0,0.0,0.3277507722377777,0.0,0.04709611088037491,0.3042026162147522
attack_amp_scale_1,91h8tvdv,amp_scale,1.0,"{""scale"": 0.8}",0.9824497699737548,0.06800000369548798,0.10199999809265135,0.03266666829586029,0.9326666593551636,1.0,0.0,0.20380620658397677,0.0,0.04398788511753082,0.1818123161792755
attack_amp_scale_2,r33pbp0s,amp_scale,2.0,"{""scale"": 0.9}",0.9831222295761108,0.06533333659172058,0.08933333307504654,0.03999999910593033,0.9353333115577698,1.0,0.0,0.19863948225975037,0.0,0.04284778982400894,0.17721565067768097
attack_amp_scale_3,y7fr5z87,amp_scale,3.0,"{""scale"": 1}",0.9807782173156738,0.07133333384990692,0.1080000028014183,0.035999998450279236,0.9279999732971193,1.0,0.0,0.21596497297286987,0.0,0.0439610630273819,0.19398437440395355
attack_amp_scale_4,imc52eqv,amp_scale,4.0,"{""scale"": 1.1}",0.983340859413147,0.06333333253860474,0.09533333033323288,0.03333333507180214,0.9356666803359984,1.0,0.0,0.1994517147541046,0.0,0.04262790083885193,0.17813774943351746
attack_amp_scale_5,63rwj2mb,amp_scale,5.0,"{""scale"": 1.2}",0.981370210647583,0.07000000029802322,0.09399999678134918,0.03799999877810478,0.9340000152587892,1.0,0.0,0.21061919629573825,0.0,0.04287350922822952,0.18918243050575256
attack_volume_1,6kp6sv65,volume,1.0,"{""gain_db"": -6}",0.9809488654136658,0.07066666334867477,0.09799999743700027,0.04266666620969772,0.9296666383743286,1.0,0.0,0.21291574835777283,0.0,0.04272984340786934,0.19155088067054749
attack_volume_2,hikrndss,volume,2.0,"{""gain_db"": -3}",0.980435073375702,0.06400000303983688,0.09466666728258132,0.041333332657814026,0.9319999814033508,1.0,0.0,0.214019775390625,0.0,0.04151887446641922,0.19326026737689972
attack_volume_3,q0q3vjce,volume,3.0,"{""gain_db"": 0}",0.9832048416137696,0.06133333221077919,0.10000000149011612,0.03266666829586029,0.9336666464805604,1.0,0.0,0.19839046895504,0.0,0.04207812249660492,0.17735140025615692
attack_volume_4,7obsjif5,volume,4.0,"{""gain_db"": 3}",0.9828550815582277,0.07133333384990692,0.10133333504199982,0.04066666588187218,0.9290000200271606,1.0,0.0,0.20173494517803192,0.0,0.04148352891206741,0.18099313974380493
attack_volume_5,rk3dhpll,volume,5.0,"{""gain_db"": 6}",0.981181263923645,0.07000000029802322,0.10466666519641876,0.03999999910593033,0.9276666641235352,1.0,0.0,0.2115304619073868,0.0,0.043362125754356384,0.1898494213819504
attack_additive_noise_1,7h6byw2w,additive_noise,1.0,"{""snr_db"": 40}",0.9767764806747437,0.07599999755620956,0.07999999821186066,0.07000000029802322,0.925000011920929,1.0,0.0,0.2188694030046463,0.0,0.04975013807415962,0.19399432837963104
attack_additive_noise_2,80g0fwf0,additive_noise,2.0,"{""snr_db"": 32}",0.9771920442581176,0.07866666465997696,0.05133333429694176,0.1366666704416275,0.906000018119812,1.0,0.0,0.2451453059911728,0.0,0.050732359290122986,0.2197791188955307
attack_additive_noise_3,8h6l5oio,additive_noise,3.0,"{""snr_db"": 24}",0.9670944213867188,0.09666666388511658,0.02533333376049995,0.30399999022483826,0.8353333473205566,1.0,0.0,0.4400539994239807,0.0,0.05123598128557205,0.4144360423088074
attack_additive_noise_4,mc59y1qp,additive_noise,4.0,"{""snr_db"": 16}",0.9497666358947754,0.119999997317791,0.01133333332836628,0.6193333268165588,0.6846666932106018,1.0,0.0,0.965842306613922,0.0,0.05357766151428223,0.9390533566474916
attack_additive_noise_5,e3c80ocm,additive_noise,5.0,"{""snr_db"": 8}",0.8750650882720947,0.19200000166893005,0.004000000189989805,0.9073333144187928,0.5443333387374878,1.0,0.0,2.1398134231567383,0.0,0.0667538046836853,2.106436252593994
attack_time_stretch_1,sw2q3kiq,time_stretch,1.0,"{""rate"": 0.75}",0.9505208730697632,0.12266666442155838,0.041333332657814026,0.2913333475589752,0.8336666822433472,1.0,0.0,0.49514979124069214,0.0,0.0667370930314064,0.46178120374679565
attack_time_stretch_2,jcd4gnuh,time_stretch,2.0,"{""rate"": 0.9}",0.9820875525474548,0.06933332979679108,0.09200000017881392,0.04266666620969772,0.9326666593551636,1.0,0.0,0.20682713389396667,0.0,0.04579915478825569,0.1839275360107422
attack_time_stretch_3,zyxh1nps,time_stretch,3.0,"{""rate"": 1.07}",0.9740982055664062,0.0860000029206276,0.07266666740179062,0.11400000005960464,0.9066666960716248,1.0,0.0,0.2440690845251083,0.0,0.04876241087913513,0.2196878492832184
attack_time_stretch_4,gxy3gbu0,time_stretch,4.0,"{""rate"": 1.25}",0.9285306930541992,0.14266666769981384,0.02266666665673256,0.5013333559036255,0.7379999756813049,1.0,0.0,0.7521925568580627,0.0,0.08875209838151932,0.7078162431716919
attack_time_stretch_5,onsz01m9,time_stretch,5.0,"{""rate"": 1.5}",0.7260580062866211,0.3333333432674408,0.0026666666381061077,0.9539999961853028,0.5216666460037231,1.0,0.0,2.606697797775269,0.0,0.308369517326355,2.4525139331817627
attack_lowpass_1,e48lax1k,lowpass,1.0,"{""cutoff_hz"": 7000}",0.9845506548881532,0.06466666609048843,0.10533333569765092,0.03733333200216293,0.928666651248932,1.0,0.0,0.1937095671892166,0.0,0.04214543104171753,0.17263682186603546
attack_lowpass_2,pbdzmiix,lowpass,2.0,"{""cutoff_hz"": 5000}",0.9858590960502625,0.06066666543483734,0.09399999678134918,0.035999998450279236,0.9350000023841858,1.0,0.0,0.18279093503952024,0.0,0.041926950216293335,0.1618274599313736
attack_lowpass_3,qqmgl6c5,lowpass,3.0,"{""cutoff_hz"": 3500}",0.9841315746307372,0.06800000369548798,0.08533333241939545,0.04600000008940697,0.934333324432373,1.0,0.0,0.18871177732944489,0.0,0.03966595605015755,0.16887879371643066
attack_lowpass_4,3c7xktlu,lowpass,4.0,"{""cutoff_hz"": 2500}",0.9837719798088074,0.06333333253860474,0.07599999755620956,0.04399999976158142,0.9399999976158142,1.0,0.0,0.1848970204591751,0.0,0.04210355132818222,0.1638452410697937
attack_lowpass_5,jxx9o4mn,lowpass,5.0,"{""cutoff_hz"": 1500}",0.9832808971405028,0.06800000369548798,0.0573333315551281,0.0833333358168602,0.9296666383743286,1.0,0.0,0.19228702783584595,0.0,0.042424146085977554,0.17107491195201874
attack_highpass_1,x4m79ho2,highpass,1.0,"{""cutoff_hz"": 40}",0.9830861687660216,0.06733333319425583,0.09533333033323288,0.03400000184774399,0.9353333115577698,1.0,0.0,0.1992463767528534,0.0,0.04240014404058456,0.17804628610610962
attack_highpass_2,wxc9p8ic,highpass,2.0,"{""cutoff_hz"": 80}",0.9836306571960448,0.06666667014360428,0.1066666692495346,0.02866666577756405,0.9323333501815796,1.0,0.0,0.2007222026586533,0.0,0.04372294619679451,0.17886069416999817
attack_highpass_3,o601v50l,highpass,3.0,"{""cutoff_hz"": 120}",0.9839844107627868,0.06266666948795319,0.109333336353302,0.024666666984558105,0.9330000281333924,1.0,0.0,0.2050514668226242,0.0,0.04180269315838814,0.18415012955665588
attack_highpass_4,910bmiq6,highpass,4.0,"{""cutoff_hz"": 200}",0.983087956905365,0.06733333319425583,0.1106666699051857,0.030666666105389595,0.9293333292007446,1.0,0.0,0.2070508599281311,0.0,0.03929409757256508,0.18740378320217133
attack_highpass_5,tddtbls9,highpass,5.0,"{""cutoff_hz"": 350}",0.9754230976104736,0.08399999886751175,0.11599999666213988,0.04399999976158142,0.9200000166893004,1.0,0.0,0.24323834478855133,0.0,0.04138724133372307,0.22254477441310885
attack_reverberation_1,48y5s5sy,reverberation,1.0,"{""room_scale"": 0.25, ""t60"": 0.2}",0.9642679691314696,0.09933333098888396,0.029333332553505898,0.2879999876022339,0.8413333296775818,1.0,0.0,0.4016589820384979,0.0,0.03646696358919144,0.3834255337715149
attack_reverberation_2,me3g82zq,reverberation,2.0,"{""room_scale"": 0.4, ""t60"": 0.35}",0.9638853073120116,0.09666666388511658,0.035999998450279236,0.28333333134651184,0.8403333425521851,1.0,0.0,0.4034713804721832,0.0,0.039208706468343735,0.3838669955730438
attack_reverberation_3,jtx4fp7i,reverberation,3.0,"{""room_scale"": 0.5, ""t60"": 0.5}",0.963447093963623,0.09466666728258132,0.02800000086426735,0.27533334493637085,0.8483333587646484,1.0,0.0,0.4090488255023956,0.0,0.038205984979867935,0.3899458050727844
attack_reverberation_4,j9akea8j,reverberation,4.0,"{""room_scale"": 0.65, ""t60"": 0.7}",0.9655746817588806,0.0913333296775818,0.02800000086426735,0.28866666555404663,0.8416666388511658,1.0,0.0,0.3933444023132324,0.0,0.03716876357793808,0.3747598528861999
attack_reverberation_5,h960za62,reverberation,5.0,"{""room_scale"": 0.8, ""t60"": 0.9}",0.967314839363098,0.09466666728258132,0.020666666328907013,0.28333333134651184,0.8479999899864197,1.0,0.0,0.3916800022125244,0.0,0.03970140963792801,0.37182942032814026
attack_codec_mulaw_1,gic1j3s6,codec_mulaw,1.0,{},0.9833182096481324,0.06599999964237213,0.04399999976158142,0.10733333230018616,0.9243333339691162,1.0,0.0,0.20290270447731015,0.0,0.03936983272433281,0.18321777880191803
