min_utts,n_systems,rho,p,loso_r2
8,61,0.5974087784241142,3.7209252880004417e-07,0.2766268052813685
12,51,0.6419909502262443,3.8252642394304066e-07,0.29728846358700034
16,28,0.6880131362889983,5.2052570647425074e-05,0.16311157308820723
25,1,,,
