epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,train-rank_loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,,0.5099188685417175,0.735197126865387,0.0,0.012400380335748196,1.7394880056381226,0.32100990414619446,1.7456883192062378
0,516,0.7890715599060059,0.8690287470817566,0.014127982780337334,0.013988194987177849,0.4598338007926941,0.21013931930065155,0.5259165167808533,0.5202488899230957,,,,,,,
1,1033,,,,,,,,,0.5220919847488403,0.726459264755249,0.0,0.006416247691959143,1.6727367639541626,0.3303549587726593,1.6759449243545532
1,1033,0.8030948042869568,0.8826510906219482,0.014404618181288242,0.011211898177862167,0.438037633895874,0.19700193405151367,0.5025153756141663,0.516697883605957,,,,,,,
2,1550,,,,,,,,,0.6334535479545593,0.7557775974273682,0.0,0.007332977373152971,0.8753353953361511,0.31469792127609253,0.8790019750595093
2,1550,0.806769847869873,0.8890877962112427,0.012246258556842804,0.009782171808183193,0.42722776532173157,0.19083231687545776,0.48902225494384766,0.5078011751174927,,,,,,,
3,2067,,,,,,,,,0.6244364380836487,0.7532765865325928,0.0,0.009850312024354935,0.9861276745796204,0.31370604038238525,0.9910526275634766
3,2067,0.8120889663696289,0.8923447728157043,0.011466705240309238,0.011020268313586712,0.4216715097427368,0.18660472333431244,0.48471614718437195,0.5180083513259888,,,,,,,
4,2584,,,,,,,,,0.5365194082260132,0.7626214027404785,0.0,0.006017779931426048,1.727526307106018,0.29700180888175964,1.7305355072021484
4,2584,0.8202127814292908,0.8967991471290588,0.011423158459365368,0.009152128361165524,0.4123835563659668,0.1797252893447876,0.47213590145111084,0.4946453273296356,,,,,,,
