intervention,alpha,measured_C_mean,measured_C_std,EER_mean,EER_std,AUC_mean,AUC_std,Acc_mean,Acc_std,n_seeds,measured_C_sem,EER_sem,AUC_sem,Acc_sem
C_scale,0.5,7.452970822652181,0.008791802804234382,0.2783333333336969,0.009381941874646329,0.7879932291666667,0.008602887802835628,0.738125,0.005340002340823483,3,0.005075949715686827,0.005416666666848481,0.004966879588775298,0.00308305178894767
C_scale,0.625,9.306007067362467,0.015278559522808108,0.12916666666629104,0.01993478952255183,0.9466489583333333,0.009731983847236095,0.8729166666666667,0.017769502197116625,3,0.008821080453322982,0.01150935609708383,0.0056187634939508495,0.01025922687687093
C_scale,0.75,11.184186299641928,0.01939822061633135,0.0941666666663965,0.0036084391832044175,0.9691838541666667,0.0032109113948654935,0.9114583333333334,0.004606946747395019,3,0.011199567894638655,0.0020833333337774637,0.0018538205581696296,0.002659821944750785
C_scale,0.875,13.02483876546224,0.02350988497780394,0.07666666666629941,0.009464847242369961,0.9770760416666667,0.0041288501011239815,0.9254166666666667,0.008036375634160792,3,0.013573438420552244,0.005464532103220984,0.002383792717327544,0.004639803635691683
C_scale,1.0,14.854715983072916,0.04675025566314635,0.07583333333362006,0.012520816001290135,0.978471875,0.006406224847511625,0.9270833333333334,0.012411142507172113,3,0.026991272691801373,0.007228896488818633,0.0036986356402001065,0.007165576467466627
C_scale,1.125,16.77080535888672,0.025022498499428933,0.07416666666650733,0.008322910148222173,0.979371875,0.005735691053000391,0.9279166666666666,0.00848558827267346,3,0.014446746244442301,0.0048052344145171405,0.003311502773438304,0.004899156673460354
C_scale,1.25,18.649329503377277,0.024733074043555934,0.07416666666672725,0.0072168783648144,0.9794411458333334,0.004169481503630215,0.9314583333333334,0.004773516348912334,3,0.014279646956933964,0.004166666666634381,0.0024072512685020704,0.0027559909490256157
C_scale,1.375,20.511201858520508,0.023157950008518884,0.06958333333335855,0.00710780087881571,0.9805557291666668,0.004233563498500238,0.9314583333333334,0.008060642550897128,3,0.013370248671298275,0.004103690750730509,0.0024442490254904864,0.004653814146601809
C_scale,1.5,22.368656794230144,0.046838727961575746,0.07375000000018593,0.007603453163089173,0.9791124999999999,0.004609199414028483,0.9291666666666667,0.006322496210622299,3,0.02704235219711541,0.0043898557304802455,0.00266112252243801,0.003650294889153173
C_scale,1.75,26.110755920410156,0.06513867217581303,0.07833333333304511,0.008779711460927259,0.9772244791666668,0.0041492687883367095,0.9268749999999999,0.008408515029421044,3,0.037607829915360436,0.005068968775373596,0.0023955814518863117,0.004854658415721254
C_scale,2.0,29.810999552408855,0.10730647278102104,0.08666666666666094,0.0019094065395742867,0.9731437500000001,0.0033181412018110363,0.9160416666666666,0.0037673211083385848,3,0.061953420945911754,0.0011023963796156463,0.0019157297160747903,0.002175063856023041
C_scale,2.25,33.43360900878906,0.10134368287020523,0.09374999999999856,0.006495190528381637,0.9704244791666667,0.0048927302610661675,0.9127083333333333,0.008934075684329829,3,0.058510802585781056,0.0037499999999990458,0.0028248191332987797,0.005158091001308317
C_scale,2.5,37.33197784423828,0.07599143862345505,0.09874999999998894,0.009762812094909205,0.9639828125,0.004735597253531546,0.9039583333333333,0.011203608049790644,3,0.043873677545358696,0.005636562191043564,0.0027340983491000908,0.006468406123441687
C_scale,3.0,44.65700022379557,0.03876241408990729,0.12458333333346198,0.012011279421413026,0.951296875,0.011493133246265188,0.8777083333333332,0.013438711185725078,3,0.022379490209247718,0.006934715407264623,0.006635563573563444,0.007758843520640009
C_scale,3.5,52.187262217203774,0.013052970062795408,0.13791666666718294,0.022546248764055674,0.9401828125000001,0.017473018541543626,0.8677083333333333,0.022572222051303107,3,0.007536135779479055,0.013017082793143812,0.010088051958515535,0.013032078477527857
C_scale,4.0,59.507738749186196,0.24344798942129717,0.14916666666668277,0.03345550527688402,0.92978125,0.019392254413811684,0.8554166666666667,0.03076075353975151,3,0.1405547622260591,0.019315544977483935,0.011196123306007884,0.017759729336651268
shift_control,0.5,14.869652112325033,0.03655439228455338,0.08458333333319101,0.013768926368255519,0.9731213541666667,0.006533352744145018,0.9183333333333333,0.01409140547757151,3,0.021104688225550075,0.00794949334516446,0.0037720329655429067,0.008135676745736078
shift_control,0.625,14.88961919148763,0.026104286266904333,0.07583333333310183,0.008036375634459126,0.9779760416666666,0.0047687900179895866,0.9260416666666668,0.009567468752670897,3,0.015071316703200268,0.004639803635863926,0.002753262200595088,0.0055237806598178755
shift_control,0.75,14.891299883524576,0.05495321009551702,0.07208333333405084,0.004389855730201662,0.97931875,0.0020745410825348917,0.9314583333333334,0.003442231592053775,3,0.03172725064148081,0.002534484387535551,0.0011977368524464574,0.001987373336285281
shift_control,0.875,14.904544512430826,0.0179656561172703,0.07416666666666646,0.006414501799308756,0.9797098958333333,0.0020401023051220737,0.9295833333333334,0.006260408000548693,3,0.010372476395474256,0.0037034143405482492,0.0011778536150366054,0.003614448244353675
shift_control,1.0,14.901176452636719,0.03612075444178207,0.07624999999999037,0.010897247358764314,0.9788739583333333,0.004017228015807522,0.9277083333333334,0.007637626158259698,3,0.02085432730029525,0.006291528696008516,0.0023193476763225794,0.004409585518440964
shift_control,1.125,14.899344762166342,0.010574844537804605,0.07208333333330659,0.008322910148109286,0.9802526041666667,0.003296384861867926,0.9322916666666666,0.004254287053471306,3,0.006105389340539932,0.004805234414451965,0.0019031686873520544,0.0024562137755315986
shift_control,1.25,14.899622281392416,0.030615431163768348,0.07750000000046782,0.003307189139361848,0.9793244791666668,0.0014333724142261597,0.9268749999999999,0.0054126587736527945,3,0.017675827423758114,0.0019094065398715698,0.0008275579492024571,0.0031250000000000305
shift_control,1.375,14.887641906738281,0.030164706733380463,0.07458333333349011,0.005051814855371426,0.9781739583333334,0.004013341499734269,0.9277083333333334,0.005051814855409246,3,0.01741560155254333,0.0029166666666448435,0.002317103795221477,0.0029166666666666785
shift_control,1.5,14.90294106801351,0.013228377711898448,0.08124999999983383,0.020879116360570937,0.9743765625000002,0.007763466280689716,0.9222916666666667,0.019787280215667148,3,0.007637407432906615,0.012054563451217151,0.004482239347000791,0.011424191559045985
shift_control,1.75,14.913714726765951,0.0014794551442902117,0.09708333333337948,0.02878620908225647,0.9649005208333333,0.016933245280680135,0.9095833333333333,0.028238198124762366,3,0.0008541638258099304,0.016619725562589623,0.009776413721054637,0.01630333128876154
shift_control,2.0,14.884007771809896,0.026170422914767146,0.10416666666666323,0.025041632002194877,0.9547593750000001,0.02110817787824997,0.9,0.02397101113845638,3,0.015109500714647164,0.01445779297741476,0.012186812180110125,0.013839669733535308
shift_control,2.25,14.897198994954428,0.03540506432688633,0.11583333333351054,0.02875905654455205,0.9487786458333334,0.022025012488763856,0.8908333333333333,0.023924795366592665,3,0.02044112341980384,0.016604049037636796,0.012716146889292682,0.013812987045208986
shift_control,2.5,14.889552116394043,0.040389309575855424,0.12416666666668007,0.026349019589591245,0.9378140624999999,0.024667055963416964,0.8810416666666666,0.022450756297580136,3,0.02331877875600326,0.015212613552933229,0.01424153140059435,0.012961950191918578
shift_control,3.0,14.886893272399902,0.03410967731882559,0.1566666666664436,0.05002082899505512,0.9135119791666667,0.04428478291562598,0.85125,0.04748354978305644,3,0.019693231381995226,0.02887953908538331,0.0255678313373408,0.027414640249326633
shift_control,3.5,14.888171831766764,0.028969704609646173,0.1724999999996534,0.06639135862380606,0.8925234375,0.0629653533319304,0.835625,0.07029235822619699,3,0.016725666754723163,0.03833106877331941,0.03635306369580992,0.04058331194386844
shift_control,4.0,14.936372439066568,0.026518507309786152,0.18875000000010678,0.06669660785965707,0.8805833333333334,0.06803985605902292,0.8197916666666667,0.06433959382319206,3,0.015310467333812094,0.03850730450180792,0.039282829211300274,0.03714648181337112
