epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-loss,train-rank_loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,,0.5220919847488403,0.7567118406295776,0.0,0.007475691381841898,1.5509415864944458,0.31134870648384094,1.5546797513961792
0,516,0.7899419665336609,0.8687898516654968,0.015197920612990856,0.01315597165375948,0.45954135060310364,0.20951828360557556,0.5264605283737183,0.5274245142936707,,,,,,,
1,1033,,,,,,,,,0.5266005396842957,0.7650610208511353,0.0,0.0077747744508087635,1.9411585330963135,0.3071836531162262,1.945046305656433
1,1033,0.8044487237930298,0.8845783472061157,0.013080567121505737,0.009667161852121353,0.4350421726703644,0.19504643976688385,0.49726930260658264,0.5085268020629883,,,,,,,
2,1550,,,,,,,,,0.5577096343040466,0.7348133325576782,0.0,0.007207497023046017,1.3849573135375977,0.32100990414619446,1.3885607719421387
2,1550,0.8161508440971375,0.8888487219810486,0.011949341744184494,0.009028867818415165,0.4269297420978546,0.18229301273822784,0.486576646566391,0.49158287048339844,,,,,,,
3,2067,,,,,,,,,0.5054102540016174,0.7431999444961548,0.0,0.010977441444993019,2.3201870918273926,0.30883678793907166,2.3256752490997314
3,2067,0.8140231966972351,0.891327440738678,0.011180462315678596,0.006848662625998259,0.42255645990371704,0.18486712872982025,0.4807273745536804,0.49156618118286133,,,,,,,
4,2584,,,,,,,,,0.548692524433136,0.7675157189369202,0.0,0.00458123441785574,1.8274672031402588,0.2968890964984894,1.8297584056854248
4,2584,0.815570592880249,0.8965205550193787,0.009947865270078182,0.008356536738574505,0.41470417380332947,0.18069258332252502,0.4728667736053467,0.49010589718818665,,,,,,,
