axis,quartile,n,GOAT__EER,GOAT__AUC,GOAT__Accuracy,robust_GOAT__EER,robust_GOAT__AUC,robust_GOAT__Accuracy,MLAAD_GOAT__EER,MLAAD_GOAT__AUC,MLAAD_GOAT__Accuracy,MLAAD_robust_GOAT__EER,MLAAD_robust_GOAT__AUC,MLAAD_robust_GOAT__Accuracy,delta_MLAAD__EER,delta_MLAAD__AUC,delta_MLAAD__Accuracy,delta_cross-dataset__EER,delta_cross-dataset__AUC,delta_cross-dataset__Accuracy
T,Q1,16,0.521921705697898,0.489600222630744,0.3267320451418608,0.4516920304364892,0.5681886974361243,0.4611452638540035,0.1882315312703073,0.8845328159877741,0.8518484171304983,0.19217442586016298,0.8780575591524034,0.8347842030694381,-0.003942894589855667,-0.006475256835370757,-0.01706421406106018,0.07022967526140877,0.07858847480538034,0.13441321871214268
T,Q2,16,0.5241054379635501,0.49072877654851077,0.4267388595258538,0.5016967781718431,0.5076019581988521,0.44175409571274404,0.23821048859768723,0.8296106649032973,0.8345508783051101,0.2529319784682932,0.8212199143385799,0.7499513506667825,-0.014721489870605953,-0.008390750564717386,-0.08459952763832757,0.02240865979170703,0.01687318165034135,0.015015236186890268
T,Q3,15,0.4623410143450096,0.5556666380812858,0.4895462663280309,0.44510162337251113,0.5931033934861027,0.5987098990473299,0.2132344368797698,0.8560319462109109,0.815148184490936,0.20552551951234488,0.8540119046396578,0.8015705429704305,0.007708917367424933,-0.0020200415712531283,-0.013577641520505446,0.01723939097249849,0.037436755404816946,0.10916363271929896
T,Q4,16,0.5682233553096208,0.42844657904901307,0.4007839253831382,0.5442321668939731,0.46575493962763215,0.5293370759191582,0.315835705939976,0.7408939430917869,0.8278996983378236,0.32215894490062486,0.7320196980227722,0.7111099758383472,-0.006323238960648847,-0.008874245069014686,-0.11678972249947639,0.023991188415647624,0.03730836057861908,0.12855315053602007
