dataset,seed,EER_det,AUC_det,head,n_cal,EER,EER_sd,AUC
mlaad,main,0.26597151122925333,0.8057247588364032,centroid,5,0.2782619238378037,0.01376060886668108,0.7919699134654896
mlaad,main,0.26597151122925333,0.8057247588364032,centroid,10,0.28728901711525034,0.019999878008136678,0.7830929271339836
mlaad,main,0.26597151122925333,0.8057247588364032,centroid,25,0.3244401648389726,0.03428877039554317,0.7397392031720137
mlaad,main,0.26597151122925333,0.8057247588364032,lda,25,0.3233271490610009,0.022672479689464512,0.7468654278640974
mlaad,main,0.26597151122925333,0.8057247588364032,centroid,50,0.2991360799601848,0.029300825912297816,0.7670980553387274
mlaad,main,0.26597151122925333,0.8057247588364032,lda,50,0.23764881445570357,0.015275898405648455,0.8384735896259998
mlaad,main,0.26597151122925333,0.8057247588364032,centroid,100,0.19150383668407003,0.01986867191073496,0.8832328707255369
mlaad,main,0.26597151122925333,0.8057247588364032,lda,100,0.17783486190493833,0.01359926143157913,0.8980518626513836
mlaad,main,0.26597151122925333,0.8057247588364032,centroid,250,0.16289599561322468,0.01256742263594887,0.9158894674834558
mlaad,main,0.26597151122925333,0.8057247588364032,lda,250,0.1361625383435979,0.008634968419302634,0.9338308021205295
mlaad,main,0.26597151122925333,0.8057247588364032,pseudo_unsup,0,0.2383457163521599,0.0,0.8252843710960616
mlaad,s42,0.28547828823159216,0.7857113504222124,centroid,5,0.2930466289929992,0.012063618632280976,0.7751280023668434
mlaad,s42,0.28547828823159216,0.7857113504222124,centroid,10,0.30048994015245634,0.014559756658959033,0.769329973645261
mlaad,s42,0.28547828823159216,0.7857113504222124,centroid,25,0.33478628201131116,0.03177839443093255,0.7253466897725128
mlaad,s42,0.28547828823159216,0.7857113504222124,lda,25,0.3320910807001022,0.021924663244763408,0.7342337947106199
mlaad,s42,0.28547828823159216,0.7857113504222124,centroid,50,0.3030515029328974,0.03133723394867145,0.7621369444961653
mlaad,s42,0.28547828823159216,0.7857113504222124,lda,50,0.24386519553773756,0.01661026492853239,0.8314325828261857
mlaad,s42,0.28547828823159216,0.7857113504222124,centroid,100,0.1968471819064898,0.020412976910495442,0.8774580874026668
mlaad,s42,0.28547828823159216,0.7857113504222124,lda,100,0.17892115128942523,0.013311780227151694,0.8945495711927105
mlaad,s42,0.28547828823159216,0.7857113504222124,centroid,250,0.16934360722742867,0.013083990375333787,0.9093110969002188
mlaad,s42,0.28547828823159216,0.7857113504222124,lda,250,0.13852629245433584,0.009362163945127433,0.9309335072856886
mlaad,s42,0.28547828823159216,0.7857113504222124,pseudo_unsup,0,0.2399800869785747,0.0,0.8205926002460949
mlaad,s1024,0.26488780139579005,0.8006842752881281,centroid,5,0.2763595429707114,0.016568164220864136,0.7863449345103576
mlaad,s1024,0.26488780139579005,0.8006842752881281,centroid,10,0.28368681220968905,0.02264055776415992,0.7807504111733066
mlaad,s1024,0.26488780139579005,0.8006842752881281,centroid,25,0.32202738004171466,0.027143989158641527,0.7355912924130129
mlaad,s1024,0.26488780139579005,0.8006842752881281,lda,25,0.31395489124248904,0.023628986115485334,0.7502654552255473
mlaad,s1024,0.26488780139579005,0.8006842752881281,centroid,50,0.29596782728804927,0.025643100726320568,0.768795459515195
mlaad,s1024,0.26488780139579005,0.8006842752881281,lda,50,0.2380592783371614,0.016823449368433427,0.8405803737274262
mlaad,s1024,0.26488780139579005,0.8006842752881281,centroid,100,0.19419161086912345,0.020680164767506653,0.8822371635494717
mlaad,s1024,0.26488780139579005,0.8006842752881281,lda,100,0.17642678329777114,0.014775882775110372,0.8994829553435972
mlaad,s1024,0.26488780139579005,0.8006842752881281,centroid,250,0.16543746631707829,0.011560831589913811,0.9123533483743553
mlaad,s1024,0.26488780139579005,0.8006842752881281,lda,250,0.13348262547306028,0.010459588012278214,0.934190736825687
mlaad,s1024,0.26488780139579005,0.8006842752881281,pseudo_unsup,0,0.2546189756065487,0.0,0.8090897776692373
itw,main,0.3633333333333333,0.683344,centroid,5,0.3490292400391195,0.034755842441415,0.7023899545443314
itw,main,0.3633333333333333,0.683344,centroid,10,0.3443341271857409,0.05516476385069495,0.7086678032013208
itw,main,0.3633333333333333,0.683344,centroid,25,0.3119189444616008,0.03887426312574962,0.7461163962214113
itw,main,0.3633333333333333,0.683344,lda,25,0.2866370722022612,0.04438793451559897,0.7839873762917018
itw,main,0.3633333333333333,0.683344,centroid,50,0.33853007887328884,0.03189881710140346,0.7148566155608846
itw,main,0.3633333333333333,0.683344,lda,50,0.2680233265433307,0.042335342816005275,0.8052851645824639
itw,main,0.3633333333333333,0.683344,centroid,100,0.3096847546762369,0.043582832491631335,0.7494644234746053
itw,main,0.3633333333333333,0.683344,lda,100,0.25460114888048785,0.05353164725348295,0.821404701217799
itw,main,0.3633333333333333,0.683344,centroid,250,0.2871901018258981,0.03890369536087799,0.7783000566226409
itw,main,0.3633333333333333,0.683344,lda,250,0.19223899690792257,0.02521176163506152,0.8886730652569594
itw,main,0.3633333333333333,0.683344,pseudo_unsup,0,0.365,0.0,0.6821359999999999
asvspoof,s1,0.07125000000000001,0.9804625,centroid,5,0.07593986234555931,0.005452992564839855,0.9796989840014094
asvspoof,s1,0.07125000000000001,0.9804625,centroid,10,0.07493557177578414,0.013383210851662428,0.9799990164235408
asvspoof,s1,0.07125000000000001,0.9804625,centroid,25,0.08113372935587224,0.01682252693610853,0.9751653390614436
asvspoof,s1,0.07125000000000001,0.9804625,lda,25,0.0738141194942111,0.008541397521717543,0.980739317541939
asvspoof,s1,0.07125000000000001,0.9804625,centroid,50,0.08412771868430129,0.013359570358541543,0.9736147114436561
asvspoof,s1,0.07125000000000001,0.9804625,lda,50,0.07724919230367962,0.01021866874911973,0.979693578218132
asvspoof,s1,0.07125000000000001,0.9804625,centroid,100,0.08775359978821703,0.0266672965168569,0.9699809253415962
asvspoof,s1,0.07125000000000001,0.9804625,lda,100,0.07652763323508344,0.012458412046189036,0.9785237921182193
asvspoof,s1,0.07125000000000001,0.9804625,centroid,250,0.09627443407651902,0.03283444092971302,0.9672019506206968
asvspoof,s1,0.07125000000000001,0.9804625,lda,250,0.07856265253362057,0.013779577345561634,0.9788856955687221
asvspoof,s1,0.07125000000000001,0.9804625,pseudo_unsup,0,0.07375000000000001,0.0,0.9816203124999999
asvspoof,s3,0.09187500000000001,0.97145625,centroid,5,0.08971380480406552,0.004103733628864414,0.9696550472046507
asvspoof,s3,0.09187500000000001,0.97145625,centroid,10,0.08828926986630439,0.01039126489705202,0.9704244766761301
asvspoof,s3,0.09187500000000001,0.97145625,centroid,25,0.09225076532028482,0.011015903512337864,0.9657254649490797
asvspoof,s3,0.09187500000000001,0.97145625,lda,25,0.08847168616080844,0.0060930229585321955,0.9701618816130383
asvspoof,s3,0.09187500000000001,0.97145625,centroid,50,0.09462372623171746,0.014790551257270136,0.9637015656799262
asvspoof,s3,0.09187500000000001,0.97145625,lda,50,0.09049500033784667,0.01275144701146458,0.96960182629768
asvspoof,s3,0.09187500000000001,0.97145625,centroid,100,0.09841312684540839,0.028330649430601852,0.9596243151179717
asvspoof,s3,0.09187500000000001,0.97145625,lda,100,0.08757179000043533,0.013983672332884032,0.970429505632896
asvspoof,s3,0.09187500000000001,0.97145625,centroid,250,0.10739893147923332,0.03070636402812419,0.9544821024932666
asvspoof,s3,0.09187500000000001,0.97145625,lda,250,0.08982822123384462,0.02033838240769677,0.9700386648946162
asvspoof,s3,0.09187500000000001,0.97145625,pseudo_unsup,0,0.07937500000000003,0.0,0.9709562500000001
asvspoof,s7,0.07125000000000001,0.9803625,centroid,5,0.07441390470153428,0.005488107142202273,0.9794385253404458
asvspoof,s7,0.07125000000000001,0.9803625,centroid,10,0.07578836250439627,0.008467570157743208,0.9792269143840221
asvspoof,s7,0.07125000000000001,0.9803625,centroid,25,0.08182934887622312,0.014760559865178043,0.9734078863345381
asvspoof,s7,0.07125000000000001,0.9803625,lda,25,0.07879760496195218,0.007304187638201692,0.9789511331034646
asvspoof,s7,0.07125000000000001,0.9803625,centroid,50,0.09009426331250361,0.020381828421752627,0.9691273303627941
asvspoof,s7,0.07125000000000001,0.9803625,lda,50,0.07662633293948677,0.010498702298401445,0.9794308109598541
asvspoof,s7,0.07125000000000001,0.9803625,centroid,100,0.09436972644669214,0.030588449298902226,0.9650623900898034
asvspoof,s7,0.07125000000000001,0.9803625,lda,100,0.07752956138351721,0.011994118280736,0.9782613790115947
asvspoof,s7,0.07125000000000001,0.9803625,centroid,250,0.0925760840793191,0.02958010854013786,0.9665183253750801
asvspoof,s7,0.07125000000000001,0.9803625,lda,250,0.07779050281074572,0.017293810608609402,0.9783700956296497
asvspoof,s7,0.07125000000000001,0.9803625,pseudo_unsup,0,0.07499999999999998,0.0,0.980546875
