epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-eer,train-fnr,train-fpr,train-loss,train-tnr,train-tpr,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-fnr,val-fpr,val-loss,val-tnr,val-tpr
0,395,,,,,,,,,,,,0.9002016186714172,0.9802614450454712,0.0,0.03269604593515396,0.22841300070285797,0.07285428792238235,0.16167664527893066,0.03665987774729729,0.24476106464862823,0.0,1.0
0,395,0.8632575869560242,0.94267737865448,0.11141079664230347,0.11012399941682816,0.3102721571922302,0.13620342314243317,0.1405775099992752,0.13293051719665527,0.4210394620895386,0.0,1.0,,,,,,,,,,,
1,791,,,,,,,,,,,,0.8956653475761414,0.9920860528945923,0.0,0.02504952810704708,0.22478123009204865,0.04378818720579147,0.002994012087583542,0.20773930847644806,0.23730596899986267,0.0,1.0
1,791,0.9205808043479919,0.976824164390564,0.02464344911277294,0.03404800593852997,0.19847869873046875,0.078125,0.07135627418756485,0.08744959533214569,0.22782453894615173,0.0,1.0,,,,,,,,,,,
2,1187,,,,,,,,,,,,0.9637096524238586,0.9946013689041138,0.0,0.022300053387880325,0.0986769050359726,0.03564154729247093,0.019960079342126846,0.05295315757393837,0.10982688516378403,0.0,1.0
2,1187,0.9318181872367859,0.9822574853897095,0.019277123734354973,0.03117096610367298,0.16976818442344666,0.06725440919399261,0.06430380046367645,0.07204030454158783,0.19499219954013824,0.0,1.0,,,,,,,,,,,
3,1583,,,,,,,,,,,,0.9778226017951965,0.9974104166030884,0.0,0.01700473204255104,0.06436845660209656,0.02545824833214283,0.014970059506595135,0.0295315682888031,0.07287082821130753,0.0,1.0
3,1583,0.9439393877983093,0.9871740937232971,0.013360708020627499,0.02374672330915928,0.14570552110671997,0.056689340621232986,0.05188559740781784,0.06021668016910553,0.1642591655254364,0.0,1.0,,,,,,,,,,,
4,1979,,,,,,,,,,,,0.9697580933570862,0.9963859915733337,0.0,0.028243910521268845,0.08113714307546616,0.028942115604877472,0.01896207593381405,0.04175152629613876,0.09525912255048752,0.0,1.0
4,1979,0.948106050491333,0.9891715049743652,0.009967171587049961,0.02056860737502575,0.1320614069700241,0.05264483764767647,0.047088608145713806,0.05667506158351898,0.14732936024665833,0.0,1.0,,,,,,,,,,,
5,2375,,,,,,,,,,,,0.9808467626571655,0.9981533885002136,0.0,0.013025137595832348,0.05392963066697121,0.019348269328475,0.01796407252550125,0.020366597920656204,0.06044219806790352,0.0,1.0
5,2375,0.9497475028038025,0.9904245734214783,0.009673121385276318,0.01978856883943081,0.12487783282995224,0.05066801235079765,0.04275234043598175,0.057726241648197174,0.13960868120193481,0.0,1.0,,,,,,,,,,,
6,2771,,,,,,,,,,,,0.975806474685669,0.9981768131256104,0.0,0.011299781501293182,0.07120602577924728,0.01731160841882229,0.03992015868425369,0.008146639913320541,0.07685592770576477,0.0,1.0
6,2771,0.9536616206169128,0.9910456538200378,0.00980543065816164,0.017801403999328613,0.11955874413251877,0.047088608145713806,0.041012659668922424,0.051637280732393265,0.13336223363876343,0.0,1.0,,,,,,,,,,,
