system,eer_baseline,eer_attn_ablated,eer_critical_only,delta_attn_ablated,delta_critical_only,ci_baseline_lo,ci_baseline_hi,ci_attn_abl_lo,ci_attn_abl_hi,ci_crit_only_lo,ci_crit_only_hi
A01,0.04,0.06,0.06,0.019999999999999997,0.019999999999999997,0.0,0.0805226174791392,0.008771929824561403,0.13003897672375933,0.02000800320128051,0.1303030303030303
A02,0.1,0.08,0.12,-0.020000000000000004,0.01999999999999999,0.020833333333333336,0.15157078743370053,0.02938808373590982,0.1499397832195905,0.059762019230769244,0.19101611759142492
A03,0.06,0.16,0.16,0.1,0.1,0.02003205128205128,0.1303030303030303,0.09037127702978376,0.25,0.08003201280512204,0.23068733490397658
A04,0.06,0.1,0.1,0.04000000000000001,0.04000000000000001,0.020071254915130367,0.14000140056022412,0.04014452027298274,0.16987179487179488,0.04957831055938465,0.17944858333802008
A05,0.1,0.06,0.08,-0.04000000000000001,-0.020000000000000004,0.0404040404040404,0.17088338744588727,0.02007226013649137,0.14039408866995073,0.02020019030888596,0.13939466783216783
A06,0.26,0.2,0.26,-0.06,0.0,0.18186734120026654,0.37025703794369647,0.11922829256028775,0.280788674926606,0.1700120433560819,0.360097539618015
