dist_to_ctr_mean,dist_to_ctr_median,dist_to_ctr_var,cos_dist_to_ctr_mean,cos_dist_to_ctr_var,avg_pairwise_dist,cov_trace,log_det_cov,effective_rank,pca_k80,pca_k95,pca_var1,knn_density,intrinsic_dim,n_utts,system
8.60335,8.18307,4.26473,0.14825,0.00502,12.50109,83.50113,12.49282,7.07009,5.00000,9.00000,0.36886,0.11597,5.34339,16,Spark-TTS-0.5B
7.17624,7.07588,0.81843,0.10849,0.00100,10.59083,57.54848,14.05672,7.42130,5.00000,8.00000,0.27862,0.11445,5.67864,11,Step-Audio-EditX
6.28081,6.40334,1.72346,0.08873,0.00101,9.09706,43.91689,4.10988,7.16708,5.00000,10.00000,0.41006,0.15971,10.68033,16,Supertonic
5.22306,4.84527,1.49465,0.06140,0.00075,7.62187,30.69331,-1.50955,7.59345,5.00000,10.00000,0.31019,0.17777,9.25168,16,Veena
9.36524,9.06506,2.45941,0.17649,0.00422,13.47352,94.26566,11.74303,10.73514,7.00000,13.00000,0.22043,0.10699,6.58542,23,VoxCPM-0.5B
9.28348,9.12187,2.51530,0.17458,0.00223,13.59626,95.52130,18.35699,8.23310,6.00000,9.00000,0.24744,0.09234,8.71187,14,VoxCPM-1.5
8.73056,8.35055,3.45525,0.15046,0.00320,12.67359,84.36490,14.13393,8.85165,7.00000,11.00000,0.34694,0.10764,7.95300,18,Voxtream
8.56459,8.58650,2.73808,0.15081,0.00358,12.33132,79.89474,9.09974,9.12470,6.00000,12.00000,0.33917,0.11744,11.08868,21,WhisperSpeech
7.72929,7.46762,6.61353,0.13441,0.00424,11.52247,72.38774,12.97623,5.82160,4.00000,8.00000,0.43563,0.11311,4.99351,12,ZipVoice
8.03165,7.76955,2.18870,0.12683,0.00289,11.70567,71.14247,14.35552,9.08738,7.00000,11.00000,0.30114,0.11022,10.51865,16,e2-tts
7.64646,7.52189,2.91604,0.11330,0.00234,11.07803,65.22092,8.92535,7.53471,6.00000,10.00000,0.39930,0.12820,5.72894,17,f5-tts
5.19714,4.96100,1.54774,0.05025,0.00078,7.57481,30.23787,-4.48232,8.89843,6.00000,10.00000,0.24200,0.17734,13.52226,18,facebook_mms-tts-eng
7.35875,7.51441,0.78580,0.10895,0.00110,10.69797,58.86108,11.92444,8.79631,6.00000,10.00000,0.28275,0.12071,8.68582,15,griffin_lim
7.70521,7.42664,1.95024,0.13013,0.00265,11.10855,64.72727,5.19578,8.88548,6.00000,10.00000,0.27293,0.13032,4.05525,19,kokoro
9.09020,8.35583,8.55300,0.14322,0.00561,13.41662,99.47433,16.23512,5.93772,4.00000,8.00000,0.35158,0.10318,5.24379,12,microsoft_speecht5_tts
7.93081,7.96720,1.38433,0.13684,0.00221,11.72605,70.71025,15.64725,7.00890,5.00000,8.00000,0.31707,0.10273,7.42804,11,minimax_speech-02-turbo
7.63782,7.44581,7.76607,0.12089,0.00609,11.45024,72.11160,15.00512,6.82545,5.00000,9.00000,0.37280,0.11241,8.86841,12,minimax_speech-2.6-hd
6.24759,4.84654,17.92445,0.09131,0.01637,9.26581,61.33810,1.32118,3.23210,2.00000,7.00000,0.70309,0.16227,8.45888,14,optispeech
7.34329,6.88124,2.02644,0.11311,0.00145,10.83552,61.54536,12.47400,6.08049,4.00000,8.00000,0.38309,0.11702,9.01118,11,orpheus-tts-0.1-finetune
7.80441,7.74819,1.81436,0.12228,0.00177,11.44648,67.54808,15.14805,8.43076,6.00000,10.00000,0.26908,0.10887,15.59476,14,parler_tts_large_v1
8.20074,7.67715,3.86638,0.13758,0.00354,11.98867,75.56334,13.86926,8.97629,6.00000,11.00000,0.29019,0.11059,12.40324,17,parler_tts_mini_v0.1
7.68968,7.62799,1.80410,0.12404,0.00089,11.93545,73.12231,12.54256,4.28641,3.00000,5.00000,0.37934,0.09237,9.00715,6,parler_tts_mini_v1
11.31339,11.74262,4.68850,0.19941,0.00583,16.53786,143.73808,22.11641,6.67109,5.00000,9.00000,0.40138,0.08122,8.52054,13,sesame_csm
11.64529,10.71361,11.44270,0.24127,0.00554,17.02871,158.36739,22.26462,6.22813,5.00000,9.00000,0.44325,0.08192,13.14411,14,suno_bark
11.94665,10.73139,14.30962,0.23478,0.00773,17.58737,169.11143,23.04951,6.14224,5.00000,9.00000,0.46760,0.07816,9.87520,14,suno_bark-small
7.14567,7.15614,1.63107,0.10284,0.00197,10.41596,56.20446,11.12729,9.19546,6.00000,11.00000,0.25755,0.12304,5.78395,16,vixTTS
