fold,n_te,test_systems,lambda_s1,EER_detector_s1,EER_fused_s1,dEER_s1,lambda_s3,EER_detector_s3,EER_fused_s3,dEER_s3,lambda_s7,EER_detector_s7,EER_fused_s7,dEER_s7,EER_axis_alone
0,335,"A07,A14,A19",0.25,0.125625,0.12535714285714283,-0.000267857142857153,0.25,0.14616071428571428,0.15526785714285712,0.009107142857142841,0.5,0.10142857142857144,0.10767857142857143,0.006249999999999992,0.23875
1,359,"A10,A16,A17",0.25,0.06391331658291455,0.03946293969849248,-0.024450376884422066,0.25,0.07831344221105527,0.07206344221105528,-0.006249999999999992,0.25,0.06391331658291455,0.047613065326633154,-0.016300251256281394,0.2117776381909548
2,365,"A09,A12,A13",0.25,0.01112804878048781,0.005564024390243905,-0.005564024390243905,0.25,0.01913109756097562,0.013567073170731714,-0.005564024390243906,0.25,0.016692073170731715,0.01112804878048781,-0.005564024390243906,0.011814024390243904
3,283,"A11,A18",0.25,0.07408536585365852,0.09878048780487804,0.02469512195121952,0.25,0.10284552845528457,0.11316056910569103,0.010315040650406462,0.25,0.12035060975609756,0.11316056910569103,-0.007190040650406529,0.3085365853658536
4,258,"A08,A15",0.25,0.02780612244897961,0.02780612244897961,0.0,0.25,0.05363520408163262,0.04853316326530614,-0.005102040816326481,0.25,0.042283163265306144,0.03093112244897961,-0.011352040816326535,0.05873724489795916
