system,eer_baseline,eer_ablate_h0_h4,eer_keep_h0_h4,eer_random_ctrl,delta_ablate_h0_h4,delta_keep_h0_h4,delta_random_ctrl,ci_baseline_lo,ci_baseline_hi,ci_ablate_h0_h4_lo,ci_ablate_h0_h4_hi,ci_keep_h0_h4_lo,ci_keep_h0_h4_hi,ci_random_ctrl_lo,ci_random_ctrl_hi
A01,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.10120154216185609,0.0,0.1097761315736652,0.0,0.08211623090598442,0.0,0.09903381642512077
A02,0.14,0.12,0.14,0.18,-0.020000000000000018,0.0,0.03999999999999998,0.058094068709024706,0.2396646482344651,0.06009615384615385,0.21059478416698243,0.058765096618357486,0.20911073520317217,0.08,0.25948592411260707
A03,0.08,0.08,0.06,0.08,0.0,-0.020000000000000004,0.0,0.02914614121510673,0.14218355429292914,0.029292779235478728,0.16092231661946804,0.02003205128205128,0.12987164015900074,0.02000800320128051,0.1313739635010454
A04,0.16,0.14,0.14,0.18,-0.01999999999999999,-0.01999999999999999,0.01999999999999999,0.08972300281011641,0.23000572059413887,0.07124842370744011,0.2203636215375351,0.0602137647453911,0.21673029556650242,0.08972300281011641,0.25
A05,0.1,0.08,0.06,0.14,-0.020000000000000004,-0.04000000000000001,0.04000000000000001,0.029171766625866992,0.15942468159859463,0.02,0.14984024859943978,0.008928571428571428,0.1097761315736652,0.060216780409474105,0.21817938037140863
A06,0.26,0.22,0.24,0.3,-0.04000000000000001,-0.020000000000000018,0.03999999999999998,0.1707070707070707,0.35000400641025636,0.15049645000731957,0.3303030303030303,0.1501610305958132,0.3499454830008927,0.2,0.400974025974026
pooled,0.14,0.14,0.135,0.18,0.0,-0.0050000000000000044,0.03999999999999998,nan,nan,nan,nan,nan,nan,nan,nan
