epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-div_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,,0.548692524433136,0.740896463394165,0.0,0.012400380335748196,1.2543368339538574,0.3226329982280731,1.260536789894104
0,516,0.7952611446380615,0.8793461322784424,0.015125568024814129,0.013988194987177849,0.43287837505340576,-15.342598915100098,0.20510835945606232,0.2940094769001007,,,,,,,
1,1033,,,,,,,,,0.5554553866386414,0.760145902633667,0.0,0.006416247691959143,1.5166579484939575,0.31057581305503845,1.5198659896850586
1,1033,0.8077369332313538,0.8905107378959656,0.0155335096642375,0.011211898177862167,0.4149707853794098,-15.340445518493652,0.19427244365215302,0.2749386727809906,,,,,,,
2,1550,,,,,,,,,0.6487826704978943,0.7815776467323303,0.0,0.007332977373152971,0.9461961388587952,0.29636308550834656,0.9498628973960876
2,1550,0.8143133521080017,0.8978089094161987,0.013836482539772987,0.009782171808183193,0.40104347467422485,-15.329891204833984,0.18801985681056976,0.2595537602901459,,,,,,,
3,2067,,,,,,,,,0.6226329803466797,0.7651886940002441,0.0,0.009850312024354935,1.086862325668335,0.3062819242477417,1.091787576675415
3,2067,0.8201160430908203,0.9005635380744934,0.01173055823892355,0.011020268313586712,0.39537084102630615,-15.332703590393066,0.18264399468898773,0.2534189224243164,,,,,,,
4,2584,,,,,,,,,0.5743913650512695,0.7858182787895203,0.0,0.006017779931426048,1.4967204332351685,0.29425910115242004,1.4997289180755615
4,2584,0.8217601776123047,0.9054862856864929,0.011580905877053738,0.009152128361165524,0.38731151819229126,-15.329225540161133,0.17770327627658844,0.24438568949699402,,,,,,,
