model,axis,n,spearman_logit,p,ci_lo,ci_hi
GOAT,C,3900,0.16143082257768954,3.497674149080822e-24,0.12942011718668955,0.1920837029241206
GOAT,T,3900,-0.044363152264019684,0.005589231360149009,-0.07663816729701446,-0.012877598657866035
robust_GOAT,C,3900,0.18387249997236696,5.327546084080693e-31,0.15136423053484868,0.21494768149413568
robust_GOAT,T,3900,-0.04205893828334697,0.008616659705003374,-0.0733200600784734,-0.009143757205060218
