model,metric,axis,n,spearman,spearman_p,spearman_ci_lo,spearman_ci_hi,spearman_perm_p,pearson,pearson_p,r2,loo_r2
GOAT,EER,C,13,-0.37912087912087916,0.20140608996104353,-0.8452722063037248,0.3125,0.20317968203179682,-0.38437688059799546,0.19471326928743432,,
GOAT,EER,T,13,0.016483516483516484,0.9573761750901849,-0.5654897864438253,0.6741801214867967,0.9663033696630337,0.02762430947061717,0.9286204235539283,,
GOAT,EER,C+T,13,,,,,,,,0.19139148909685766,-0.4423227682187749
GOAT,AUC,C,13,0.4010989010989011,0.17435746494503282,-0.27732657532927213,0.8319327731092437,0.1723827617238276,0.42078633594154763,0.15220092029022972,,
GOAT,AUC,T,13,-0.11538461538461539,0.7073898735142602,-0.7634134217067107,0.5072683315967684,0.7074292570742926,-0.16359442027490015,0.5933171480410351,,
GOAT,AUC,C+T,13,,,,,,,,0.18213169888639102,-0.3974827640001506
GOAT,Acc,C,13,0.41208791208791207,0.16175105277252633,-0.24435308441558437,0.8187134502923976,0.16098390160983903,0.4549993022138124,0.11823202773214554,,
GOAT,Acc,T,13,-0.010989010989010988,0.971577682777073,-0.622570121584206,0.5611458333333327,0.9789021097890211,-0.13654454092027046,0.6564603196949815,,
GOAT,Acc,C+T,13,,,,,,,,0.22256312014814283,-0.17942133833200646
robust_GOAT,EER,C,13,-0.4340659340659341,0.1383423778882127,-0.8151389606121779,0.23546951352360782,0.1384861513848615,-0.42784089663460945,0.14473098314386582,,
robust_GOAT,EER,T,13,-0.2087912087912088,0.493621819356885,-0.7959356624005536,0.43734781383994203,0.49795020497950204,0.0974029974878749,0.7515785393424099,,
robust_GOAT,EER,C+T,13,,,,,,,,0.20670733479585868,-0.3718293191980857
robust_GOAT,AUC,C,13,0.4340659340659341,0.1383423778882127,-0.21788342538813366,0.8440111420612814,0.144985501449855,0.40949964021665364,0.16466565208059578,,
robust_GOAT,AUC,T,13,0.1868131868131868,0.5411235235098939,-0.46023844484167514,0.7591204638279891,0.5455454454554545,-0.25148774633316107,0.40719863069307394,,
robust_GOAT,AUC,C+T,13,,,,,,,,0.16926535437502288,-0.44202540833376536
robust_GOAT,Acc,C,13,0.5549450549450549,0.04900449559833098,-0.04762575452716297,0.8944285597914631,0.050094990500949906,0.47126331909449715,0.10403365599796915,,
robust_GOAT,Acc,T,13,0.07692307692307691,0.8027630076692551,-0.5449565883554648,0.7111111111111109,0.8065193480651934,-0.16223786227715686,0.5964263275992435,,
robust_GOAT,Acc,C+T,13,,,,,,,,0.23301556754465746,-0.32265819560662456
