seed,EER_detector,EER_fused,dEER
main,0.2659715112292533,0.1571027023472943,-0.10886880888195899
s42,0.2854782882315921,0.1679221889294872,-0.1175560993021049
s1024,0.26488780139579,0.1630543005551224,-0.10183350084066758
