,aasist_ft,aasist_zeroshot,mlaad_gat,robust_goat
aasist_ft,1.0,0.30787942887361186,0.5534108937070333,0.3601797990481227
aasist_zeroshot,0.30787942887361186,1.0,0.32020095187731357,0.54420941300899
mlaad_gat,0.5534108937070333,0.32020095187731357,1.0,0.30142781597038604
robust_goat,0.3601797990481227,0.54420941300899,0.30142781597038604,1.0
