feature,rho,p,p_holm,q_bh
ve12,-0.14236453201970442,0.4613058176779935,0.7859668790567869,0.5381901206243257
ve9,-0.05270935960591132,0.7859668790567869,0.7859668790567869,0.7859668790567869
s_along,-0.30197044334975365,0.1113730991368466,0.3341192974105398,0.15592233879158526
s_orth,0.5339901477832512,0.0028490744052535135,0.017094446431521082,0.009971760418387297
rog12,-0.5610837438423644,0.0015430561535325182,0.010801393074727628,0.009971760418387297
vmean12,-0.3837438423645319,0.03987367538923075,0.159494701556923,0.06977893193115381
vmean0,-0.4645320197044333,0.011125363788298644,0.055626818941493225,0.025959182172696837
