system_id,head,top3_sparsity,top5_sparsity,peak_src,peak_tgt,peak_magnitude,attn_variance,mean_entropy
Openaudio-S1-Mini,4,0.6244,0.7322,Other,Other,0.3031,0.001927,1.39
OuteTTS,2,0.608,0.713,Other,Other,0.2975,0.001849,1.4147
OuteTTS,4,0.5984,0.7056,Other,Other,0.2901,0.001788,1.4288
Qwen2.5-Omni,2,0.6599,0.7717,Other,Other,0.3171,0.002174,1.2419
Qwen2.5-Omni,4,0.6275,0.7348,Other,Other,0.2968,0.001963,1.3353
RVC,2,0.6058,0.7079,Other,Other,0.3079,0.001935,1.4437
RVC,4,0.6081,0.7114,Other,Other,0.3041,0.001924,1.4673
"Resemble.ai (April 12th, 2025)",2,0.6306,0.7376,Other,Other,0.2972,0.001993,1.345
"Resemble.ai (April 12th, 2025)",4,0.5995,0.7139,Other,Other,0.2804,0.001809,1.4181
Ringg Squirrel TTS v1.0,2,0.631,0.7198,Other,Other,0.2998,0.002038,1.368
Ringg Squirrel TTS v1.0,4,0.6072,0.701,Other,Other,0.2845,0.001889,1.4508
SoulX-Podcast,2,0.6393,0.7529,Other,Other,0.3181,0.002115,1.2764
SoulX-Podcast,4,0.6111,0.7206,Other,Other,0.3006,0.001934,1.3567
Spark-TTS-0.5B,2,0.6325,0.7578,Other,Other,0.3151,0.002045,1.2605
Spark-TTS-0.5B,4,0.5969,0.7171,Other,Other,0.2941,0.001822,1.3437
Step-Audio-EditX,2,0.6461,0.7628,Other,Other,0.3086,0.002076,1.2484
Step-Audio-EditX,4,0.6204,0.7327,Other,Other,0.2955,0.001915,1.3357
Supertonic,2,0.6426,0.7749,Other,Other,0.3197,0.002089,1.2084
Supertonic,4,0.6125,0.7399,Other,Other,0.3009,0.001896,1.3265
Veena,2,0.598,0.7004,Other,Other,0.2934,0.001813,1.4062
Veena,4,0.5736,0.6795,Other,Other,0.2781,0.001667,1.4775
VoxCPM-0.5B,2,0.6263,0.7398,Other,Other,0.3064,0.001976,1.3028
VoxCPM-0.5B,4,0.5993,0.7086,Other,Other,0.2894,0.001809,1.4032
VoxCPM-1.5,2,0.6153,0.7259,Other,Other,0.2974,0.001934,1.3197
VoxCPM-1.5,4,0.5915,0.6985,Other,Other,0.2831,0.00179,1.379
Voxtream,2,0.6551,0.7542,Other,Other,0.3326,0.002184,1.301
Voxtream,4,0.6234,0.7229,Other,Other,0.3134,0.001977,1.3661
WhisperSpeech,2,0.6248,0.7318,Other,Other,0.3137,0.001976,1.3488
WhisperSpeech,4,0.6032,0.7135,Other,Other,0.2995,0.00185,1.4391
ZipVoice,2,0.6438,0.7575,Other,Other,0.3394,0.002196,1.2571
ZipVoice,4,0.6047,0.7115,Other,Other,0.3127,0.001925,1.3288
e2-tts,2,0.6775,0.7838,Other,Other,0.3406,0.002318,1.3245
e2-tts,4,0.6449,0.751,Other,Other,0.322,0.002102,1.4213
f5-tts,2,0.6702,0.7842,Other,Other,0.3194,0.002242,1.2664
f5-tts,4,0.642,0.7515,Other,Other,0.3011,0.002049,1.3258
facebook_mms-tts-eng,2,0.667,0.7679,Other,Other,0.3184,0.002195,1.3525
facebook_mms-tts-eng,4,0.6361,0.7394,Other,Other,0.3021,0.002008,1.389
griffin_lim,2,0.642,0.74,Other,Other,0.3154,0.002092,1.4723
griffin_lim,4,0.6225,0.7288,Other,Other,0.3027,0.001968,1.5105
kokoro,2,0.6687,0.7687,Other,Other,0.3223,0.002276,1.176
kokoro,4,0.6501,0.7492,Other,Other,0.3102,0.002145,1.2661
microsoft_speecht5_tts,2,0.6664,0.7713,Other,Other,0.3075,0.002274,1.2471
microsoft_speecht5_tts,4,0.6306,0.7416,Other,Vowels,0.2858,0.002044,1.3729
minimax_speech-02-turbo,2,0.6104,0.7257,Other,Other,0.3078,0.001916,1.3403
minimax_speech-02-turbo,4,0.578,0.692,Other,Other,0.2906,0.001731,1.4001
minimax_speech-2.6-hd,2,0.6301,0.734,Other,Other,0.3199,0.001999,1.361
minimax_speech-2.6-hd,4,0.6163,0.7191,Other,Other,0.3105,0.001913,1.4093
optispeech,2,0.6446,0.7667,Other,Other,0.3095,0.002123,1.3147
